lat,lon,cctv_count,police_count,transport_count,crime_official_count,crime_unofficial_count,safety_score,cluster,safety_score
12.85,80.13,0,0,0,0,0,35.0,0,0.483
12.85,80.14,0,0,0,0,0,35.0,0,0.483
12.85,80.15,0,0,0,0,0,35.0,0,0.483
12.85,80.16,0,0,0,0,0,35.0,0,0.483
12.85,80.17,0,0,0,0,0,35.0,0,0.483
12.85,80.18,0,0,0,0,0,35.0,0,0.483
12.85,80.19,0,0,0,0,0,35.0,0,0.483
12.85,80.2,0,0,0,0,0,35.0,0,0.483
12.85,80.21,0,0,0,0,0,35.0,0,0.483
12.85,80.22,0,0,0,0,0,35.0,0,0.483
12.85,80.23,0,0,0,0,0,35.0,0,0.483
12.85,80.24,0,0,0,0,0,35.0,0,0.483
12.85,80.25,0,0,0,0,0,35.0,0,0.483
12.85,80.26,0,0,0,0,0,35.0,0,0.483
12.85,80.27,0,0,0,0,0,35.0,0,0.483
12.85,80.28,0,0,0,0,0,35.0,0,0.483
12.85,80.29,0,0,0,0,0,35.0,0,0.483
12.85,80.3,0,0,0,0,0,35.0,0,0.483
12.85,80.31,0,0,0,0,0,35.0,0,0.483
12.85,80.32,0,0,0,0,0,35.0,0,0.483
12.86,80.0,0,0,0,0,0,35.0,0,0.483
12.86,80.01,0,0,0,0,0,35.0,0,0.483
12.86,80.02,0,0,0,0,0,35.0,0,0.483
12.86,80.03,0,0,0,0,0,35.0,0,0.483
12.86,80.04,0,0,0,0,0,35.0,0,0.483
12.86,80.05,0,0,0,0,0,35.0,0,0.483
12.86,80.06,0,0,0,0,0,35.0,0,0.483
12.86,80.07,0,0,0,0,0,35.0,0,0.483
12.86,80.08,0,0,0,0,0,35.0,0,0.483
12.86,80.09,0,0,0,0,0,35.0,0,0.483
12.86,80.1,0,0,0,0,0,35.0,0,0.483
12.86,80.11,0,0,0,0,0,35.0,0,0.483
12.86,80.12,0,0,0,0,0,35.0,0,0.483
12.86,80.13,0,0,0,0,0,35.0,0,0.483
12.86,80.14,0,0,0,0,0,35.0,0,0.483
12.86,80.15,0,0,0,0,0,35.0,0,0.483
12.86,80.16,0,0,0,0,0,35.0,0,0.483
12.86,80.17,0,0,0,0,0,35.0,0,0.483
12.86,80.18,0,0,0,0,0,35.0,0,0.483
12.86,80.19,0,0,0,0,0,35.0,0,0.483
12.86,80.2,0,0,0,0,0,35.0,0,0.483
12.86,80.21,0,0,0,0,0,35.0,0,0.483
12.86,80.22,0,0,0,0,0,35.0,0,0.483
12.86,80.23,0,0,0,1,1,23.333,0,0.31
12.86,80.24,0,0,2,0,0,37.0,0,0.513
12.86,80.25,0,0,0,0,0,35.0,0,0.483
12.86,80.26,0,0,0,0,0,35.0,0,0.483
12.86,80.27,0,0,0,0,0,35.0,0,0.483
12.86,80.28,0,0,0,0,0,35.0,0,0.483
12.86,80.29,0,0,0,0,0,35.0,0,0.483
12.86,80.3,0,0,0,0,0,35.0,0,0.483
12.86,80.31,0,0,0,0,0,35.0,0,0.483
12.86,80.32,0,0,0,0,0,35.0,0,0.483
12.87,80.0,0,0,0,0,0,35.0,0,0.483
12.87,80.01,0,0,0,0,0,35.0,0,0.483
12.87,80.02,0,0,0,0,0,35.0,0,0.483
12.87,80.03,0,0,0,0,0,35.0,0,0.483
12.87,80.04,0,0,0,0,0,35.0,0,0.483
12.87,80.05,0,0,0,0,0,35.0,0,0.483
12.87,80.06,0,0,0,0,0,35.0,0,0.483
12.87,80.07,0,0,0,0,0,35.0,0,0.483
12.87,80.08,0,0,0,0,0,35.0,0,0.483
12.87,80.09,0,0,0,0,0,35.0,0,0.483
12.87,80.1,0,0,0,0,0,35.0,0,0.483
12.87,80.11,0,0,0,0,0,35.0,0,0.483
12.87,80.12,0,0,0,0,0,35.0,0,0.483
12.87,80.13,0,0,0,0,0,35.0,0,0.483
12.87,80.14,0,0,0,0,0,35.0,0,0.483
12.87,80.15,0,0,0,0,0,35.0,0,0.483
12.87,80.16,0,0,0,0,0,35.0,0,0.483
12.87,80.17,0,0,0,0,0,35.0,0,0.483
12.87,80.18,0,0,0,0,0,35.0,0,0.483
12.87,80.19,0,0,0,0,0,35.0,0,0.483
12.87,80.2,0,0,0,0,0,35.0,0,0.483
12.87,80.21,0,0,0,0,0,35.0,0,0.483
12.87,80.22,0,0,0,0,0,35.0,0,0.483
12.87,80.23,0,0,0,0,0,35.0,0,0.483
12.87,80.24,0,0,2,0,0,37.0,0,0.513
12.87,80.25,0,0,0,0,0,35.0,0,0.483
12.87,80.26,0,0,0,0,0,35.0,0,0.483
12.87,80.27,0,0,0,0,0,35.0,0,0.483
12.87,80.28,0,0,0,0,0,35.0,0,0.483
12.87,80.29,0,0,0,0,0,35.0,0,0.483
12.87,80.3,0,0,0,0,0,35.0,0,0.483
12.87,80.31,0,0,0,0,0,35.0,0,0.483
12.87,80.32,0,0,0,0,0,35.0,0,0.483
12.88,80.0,0,0,0,0,0,35.0,0,0.483
12.88,80.01,0,0,0,0,0,35.0,0,0.483
12.88,80.02,0,0,0,0,0,35.0,0,0.483
12.88,80.03,0,0,0,0,0,35.0,0,0.483
12.88,80.04,0,0,0,0,0,35.0,0,0.483
12.88,80.05,0,0,0,0,0,35.0,0,0.483
12.88,80.06,0,0,0,0,0,35.0,0,0.483
12.88,80.07,0,0,0,0,0,35.0,0,0.483
12.88,80.08,0,0,0,0,0,35.0,0,0.483
12.88,80.09,0,0,0,0,0,35.0,0,0.483
12.88,80.1,0,0,0,0,0,35.0,0,0.483
12.88,80.11,0,0,0,0,0,35.0,0,0.483
12.88,80.12,0,0,0,0,0,35.0,0,0.483
12.88,80.13,0,0,0,0,0,35.0,0,0.483
12.88,80.14,0,0,0,0,0,35.0,0,0.483
12.88,80.15,0,0,0,0,0,35.0,0,0.483
12.88,80.16,0,0,0,0,0,35.0,0,0.483
12.88,80.17,0,0,0,0,0,35.0,0,0.483
12.88,80.18,0,0,0,0,0,35.0,0,0.483
12.88,80.19,0,0,0,0,0,35.0,0,0.483
12.88,80.2,0,0,0,0,0,35.0,0,0.483
12.88,80.21,0,0,0,0,0,35.0,0,0.483
12.88,80.22,0,0,1,0,0,36.0,0,0.498
12.88,80.23,0,0,0,0,0,35.0,0,0.483
12.88,80.24,0,0,1,0,0,36.0,0,0.498
12.88,80.25,0,0,0,0,0,35.0,0,0.483
12.88,80.26,0,0,0,0,0,35.0,0,0.483
12.88,80.27,0,0,0,0,0,35.0,0,0.483
12.88,80.28,0,0,0,0,0,35.0,0,0.483
12.88,80.29,0,0,0,0,0,35.0,0,0.483
12.88,80.3,0,0,0,0,0,35.0,0,0.483
12.88,80.31,0,0,0,0,0,35.0,0,0.483
12.88,80.32,0,0,0,0,0,35.0,0,0.483
12.89,80.0,0,0,0,0,0,35.0,0,0.483
12.89,80.01,0,0,0,0,0,35.0,0,0.483
12.89,80.02,0,0,0,0,0,35.0,0,0.483
12.89,80.03,0,0,0,0,0,35.0,0,0.483
12.89,80.04,0,0,0,0,0,35.0,0,0.483
12.89,80.05,0,0,0,0,0,35.0,0,0.483
12.89,80.06,0,0,0,0,0,35.0,0,0.483
12.89,80.07,0,0,0,0,0,35.0,0,0.483
12.89,80.08,0,0,0,0,0,35.0,0,0.483
12.89,80.09,0,0,0,0,0,35.0,0,0.483
12.89,80.1,0,0,0,0,0,35.0,0,0.483
12.89,80.11,0,0,0,0,0,35.0,0,0.483
12.89,80.12,0,0,0,0,0,35.0,0,0.483
12.89,80.13,0,0,0,0,0,35.0,0,0.483
12.89,80.14,0,0,0,0,0,35.0,0,0.483
12.89,80.15,0,0,0,0,0,35.0,0,0.483
12.89,80.16,0,0,0,0,0,35.0,0,0.483
12.89,80.17,0,0,0,0,0,35.0,0,0.483
12.89,80.18,0,0,1,0,0,36.0,0,0.498
12.89,80.19,0,0,0,0,0,35.0,0,0.483
12.89,80.2,0,0,0,0,0,35.0,0,0.483
12.89,80.21,0,0,1,0,0,36.0,0,0.498
12.89,80.22,0,0,0,0,0,35.0,0,0.483
12.89,80.23,0,0,0,0,0,35.0,0,0.483
12.89,80.24,0,0,0,0,0,35.0,0,0.483
12.89,80.25,0,0,0,0,0,35.0,0,0.483
12.89,80.26,0,0,0,0,0,35.0,0,0.483
12.89,80.27,0,0,0,0,0,35.0,0,0.483
12.89,80.28,0,0,0,0,0,35.0,0,0.483
12.89,80.29,0,0,0,0,0,35.0,0,0.483
12.89,80.3,0,0,0,0,0,35.0,0,0.483
12.89,80.31,0,0,0,0,0,35.0,0,0.483
12.89,80.32,0,0,0,0,0,35.0,0,0.483
12.9,80.0,0,0,0,0,0,35.0,0,0.483
12.9,80.01,0,0,0,0,0,35.0,0,0.483
12.9,80.02,0,0,0,0,0,35.0,0,0.483
